foggy, morning, haze
windy, afternoon, gust
snowy, evening, cold
sunny, summer, bright
stormy, night, dark
rainy, morning, wet
chilly, winter, mountain
clear, spring, star
hot, desert, heat
misty, fall, dim
cloudy, day, gloom
drizzly, dusk, slick
icy, dawn, freeze
humid, jungle, damp
dusty, noon, dry
thundering, night, flash
breezy, coast, fresh
overcast, city, gray
hailing, afternoon, ice
moonlit, midnight, glow
smoggy, urban, smoke
golden, sunset, warm
blizzard, winter, white
muggy, swamp, sticky
frosty, morning, chill
gale, highway, blow
torrential, rain, flood
serene, lake, calm
gloomy, forest, shadow
scorching, road, shimmer
